*;base;gen;akk;anom;aakk;prepin;nom;datour;nomour;akkour;multiple;lower
Empty.name;Празно;на ;;Празно;Празно;в ;;на нашето Празно;нашето Празно;нашето Празно;;
Farm.name;Зърнена ферма;на Зърнената ферма;Зърнената ферма;Зърнена ферма;Зърнена ферма;в Зърнената ферма;Зърнената ферма;на нашата Зърнена ферма;нашата Зърнена ферма;нашата Зърнена ферма;Зърнени ферми;
Monastery.name;Манастир;на Манастирът;Манастирът;Манастир;Манастир;в Манастирът;Манастирът;на нашия Манастир;нашият Манастир;нашия Манастир;Манастири;
Mosque.name;Джамия;на Джамията;Джамията;Джамия;Джамия;в Джамията;Джамията;на нашата Джамия;нашата Джамия;нашата Джамия;Джамии;
Shrine.name;Светилище;на Светилището;Светилището;Светилище;Светилище;в Светилището;Светилището;на нашето Светилище;нашето Светилище;нашето Светилище;Светилища;
Keep.name;Замък;на Замъкът;Замъкът;Замък;Замък;в Замъкът;Замъкът;на нашия Замък;нашият Замък;нашия Замък;Замъци;Burg
Mine.name;Мина;на Мината;Мината;Мина;Мина;в Мината;Мината;на нашата Мина;нашата Мина;нашата Мина;Мини;
Quarry.name;Кариера;на Кариерата;Кариерата;Кариера;Кариера;в Кариерата;Кариерата;на нашата Кариера;нашата Кариера;нашата Кариера;Кариери;
CattleFarm.name;Говедовъдна ферма;на Говедовъдната ферма;Говедовъдната ферма;Говедовъдна ферма;Говедовъдна ферма;в Говедовъдната ферма;Говедовъдната ферма;на нашата Говедовъдна ферма;нашата Говедовъдна ферма;нашата Говедовъдна ферма;Говедовъдни ферми;
SheepFarm.name;Овцевъдна ферма;на Овцевъдната ферма;Овцевъдната ферма;Овцевъдна ферма;Овцевъдна ферма;в Овцевъдната ферма;Овцевъдната ферма;на нашата Овцевъдна ферма;нашата Овцевъдна ферма;нашата Овцевъдна ферма;Овцевъдни ферми;
HorseFarm.name;Конеферма;на Конефермата;Конефермата;Конеферма;Конеферма;в Конефермата;Конефермата;на нашата Конеферма;нашата Конеферма;нашата Конеферма;Конеферми;
Vineyard.name;Лозе;на Лозето;Лозето;Лозе;Лозе;в Лозето;Лозето;на нашето Лозе;нашето Лозе;нашето Лозе;Лозя;
HerbsGardens.name;Билкова градина;на Билковата градина;Билковата градина;Билкова градина;Билкова градина;в Билковата градина;Билковата градина;на нашата Билкова градина;нашата Билкова градина;нашата Билкова градина;Билкови градини;
FlaxField.name;Ленено поле;на Лененото поле;Лененото поле;Ленено поле;Ленено поле;в Лененото поле;Лененото поле;на нашето Ленено поле;нашето Ленено поле;нашето Ленено поле;Ленени полета;
LoggingCamp.name;Дървосекачен лагер;на Дървосекачният лагер;Дървосекачният лагер;Дървосекачен лагер;Дървосекачен лагер;в Дървосекачният лагер;Дървосекачният лагер;на нашия Дървосекачен лагер;нашият Дървосекачен лагер;нашия Дървосекачен лагер;Дървосекачни лагери;
Castle.name;Град;на Градът;Градът;Град;Град;в Градът;Градът;на нашия Град;нашият Град;нашия Град;Градове;Stadt
Village.name;Село;на Селото;Селото;Село;Село;в Селото;Селото;на нашето Село;нашето Село;нашето Село;Села;
